,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3310651430489389,0.14538047139228058,1.0756341744448825,1.2257643200335475,1.319729234289297,1.4281532742729282,1.6386158702226612,0.010883003105496083
z,0.40815151239458103,0.028938409857675162,0.35595936952527907,0.3882115014052989,0.406950430826841,0.426593327806316,0.46873881570152787,0.001498140193696047
t,0.4913872458576456,0.03301207825198394,0.4168656866169806,0.4713046636151804,0.49672242489174284,0.5160981578215027,0.5428982653064222,0.0023207434038758313
theta,0.8795660244271785,0.06476641669835574,0.7400518195505933,0.8396842389376028,0.885792124897199,0.9240163268344582,0.9922228026787672,0.004569623902815485
v_Intercept,-1.0564408486051045,0.42289842112997855,-1.8671268569712896,-1.354264010700378,-1.0524450962820668,-0.7473279516947746,-0.23803830829938868,0.03601541085034224
v_gain,0.07701259937983053,0.009584329058964959,0.05842467104338745,0.07032671341001853,0.07713776276455822,0.08361070907994174,0.09559159819274254,0.0006264416694264147
v_loss,-0.13089857476329933,0.019016568482444568,-0.16750650161482167,-0.14456146715835355,-0.13141852786833946,-0.1174066783845369,-0.09363548556198019,0.001578540038112254
