,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.1331739358064277,0.08940892361354412,0.9777508603824867,1.0703383198510963,1.1250478872762442,1.1865128791576625,1.3303542373201507,0.005045127009031575
z,0.5782367524346949,0.02139195829897357,0.5362269710724573,0.5639907481493924,0.5786575041557818,0.592694996010815,0.6184703929756661,0.0005903871591558717
t,0.8275645737763389,0.029745522829857558,0.7573386173674832,0.8122348658454656,0.833576285912144,0.848598260518032,0.8722422940012922,0.0015951647481181822
theta,0.254534068964551,0.06804153291284716,0.12139366317759179,0.20976991606815762,0.25533097235223856,0.29983982026816436,0.38772017466754083,0.003432586238342007
v_Intercept,0.654338493737486,0.3018382456238727,0.10584639933835419,0.4390306397957605,0.6518542751612468,0.8654368697576613,1.2521722099206696,0.022340401820855456
v_gain,0.08203695033870115,0.006801974395854173,0.06817220429461493,0.07737423349826819,0.08229330834931622,0.08691573753046639,0.09433978731207532,0.00047810809117444623
v_loss,-0.21072900231340597,0.013487177562712031,-0.2364701147111754,-0.2201448519854029,-0.21104388904260446,-0.2015277760216447,-0.1839904212369776,0.0007631767972665121
