,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3737809596661974,0.12780149100581373,1.150031221854425,1.2872793150659714,1.3652355915153105,1.450183421675601,1.6607958496747974,0.008514128855102882
z,0.33354015879464055,0.017515983572848202,0.2999071899600986,0.32158235757558573,0.3335589353681835,0.3447978945191671,0.36985428957399735,0.0005926284889977405
t,0.6172035612733563,0.02504120956495551,0.5593987338926495,0.6036245205886517,0.6197347643552934,0.6342486830261878,0.6581892449611804,0.0015746293687690788
theta,0.766879014156338,0.07243865866200123,0.6142446899073647,0.7206956401460911,0.7714116417393595,0.8164780218182661,0.8980131149252766,0.0044521750573548995
v_Intercept,-0.27735876592690084,0.35226244487108654,-0.9908098022967782,-0.49437790954316996,-0.2649766624963179,-0.0546257950314229,0.4195727522093432,0.028199230974489675
v_gain,0.20224323463625649,0.014727965627867183,0.17257499253912684,0.19266263275048873,0.20202870108004697,0.21131774124299374,0.23233422121948052,0.001089514300683667
v_loss,-0.18144559157247966,0.014707341596706693,-0.20888640270678188,-0.19127988395868073,-0.18193334890807947,-0.17199958604063,-0.15174013054793223,0.0011154902091673918
