,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.6591039682297306,0.21684708527660126,2.1958180205527835,2.505684091211469,2.6789741040164463,2.838561393597239,2.980953518892341,0.013849948798719097
z,0.5474882296886461,0.023309368883320553,0.500928755661074,0.5320360762709212,0.547549364631979,0.5628708231767896,0.5926490231493694,0.0007125897395752443
t,0.5968164273638501,0.07458599533269546,0.45450165493586997,0.5437008964200162,0.5967983463706762,0.6492784325381821,0.7417687210712128,0.004429158327533293
theta,0.6043669879681974,0.054132176120065684,0.4825535519120809,0.5699633493608661,0.6120203061749914,0.6456032185219305,0.6868009552354943,0.003294288109380978
v_Intercept,0.20447402257076286,0.21550646018745712,-0.2234329795945744,0.06229348753813686,0.20528862399215714,0.35210165434771296,0.6266114004202599,0.011758866427110813
v_gain,0.15765995405941946,0.013735547984351995,0.13090412721678665,0.14814111487008957,0.15736686568763822,0.16722657276193212,0.18441203589650704,0.0007370406128566902
v_loss,-0.16998406341574354,0.01424610505456372,-0.19816452520022948,-0.17958553975897826,-0.16970430567994138,-0.16011625227738135,-0.14274920803558142,0.0007591673605326595
