,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.1707213462327126,0.27896930820668475,1.7104492256999493,1.9701843498753653,2.138874915584687,2.334495233613249,2.823682151966109,0.023362022074888224
z,0.5509838957642826,0.021609618559259074,0.5097790548625801,0.535695408895761,0.5504613286165352,0.5653016712386977,0.5949625246575813,0.0010949366278912727
t,0.6221184759010475,0.07994466410498369,0.4386625028519298,0.573325930538768,0.6307432514609614,0.6804265293147631,0.7523994635240565,0.006379273312265182
theta,0.6611867039540102,0.07679629136190315,0.5077220089275032,0.6081882103346111,0.662293297837824,0.7136763723609112,0.8100255623906296,0.0062237535515528
v_Intercept,0.48545182312222324,0.26181877292604744,-0.019518614616932814,0.30825284841400813,0.48389161755305676,0.6626953940768816,0.9959202598487119,0.022902301995532323
v_gain,0.12580876073755934,0.010631551510260016,0.10468205505280166,0.11861840882129551,0.12601891606646182,0.132894210752204,0.14675557292463148,0.000626407307560766
v_loss,-0.20294019365342722,0.012071218653213535,-0.22599519959998576,-0.21119160505623424,-0.20279939432195762,-0.1949152146628412,-0.17957626699083948,0.0010428247798493194
