,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9902496130757585,0.1763181849340748,1.6570476933395364,1.8675582207433268,1.9792700562278667,2.107969177535262,2.351483003095468,0.010035699836011356
z,0.5280228465377934,0.02352655108125207,0.4824025559845514,0.5124377852543376,0.5278638810754308,0.54337694147859,0.5756211712317162,0.0008006098664602573
t,0.5874215976234554,0.06105853411553394,0.4611699397216713,0.548024396063027,0.588371592513264,0.6291193598575715,0.704591730123837,0.003300567807127494
theta,0.4143271595898191,0.06119860448852161,0.2886880292612052,0.37398807830329206,0.41636658222739376,0.4571655301658807,0.5263853951178399,0.0032879098182456252
v_Intercept,-0.2025351328047778,0.2317695303764895,-0.6803408958865513,-0.36212291799027024,-0.19363314541327714,-0.03661823797427867,0.20997018273946835,0.015355090038324266
v_gain,0.19540160235690285,0.011684029725966775,0.172660488089811,0.1876475427779961,0.1954803334324946,0.20296672495145587,0.21804477642231423,0.0007200135976749985
v_loss,-0.16822417336372547,0.011381133154301185,-0.19019025299047376,-0.17600979514923026,-0.16842613390633784,-0.16076366925847096,-0.1453077302373834,0.0005230196430310028
