,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.4413391992753246,0.1387227601294101,1.2299894193765928,1.344816833616085,1.4208170484763958,1.5113459158242775,1.7979131254027245,0.008897356790820338
z,0.592975445612349,0.018071083165380666,0.5570635932155322,0.5808945996357638,0.5931479884684249,0.605697482465626,0.6266458411279621,0.0004923827907758509
t,0.5848462690152842,0.03418242625119182,0.5018519754136406,0.5651969850720338,0.5895739303510784,0.6094262041516052,0.6377186865267337,0.002083347559435804
theta,0.5127374660610621,0.08631389396971746,0.36406283482426655,0.4531568256309364,0.5043770567072429,0.5616245181872639,0.7199815218468492,0.0051470823778275035
v_Intercept,-0.762328734180287,0.2758813135354191,-1.3322759892215703,-0.9448636256807245,-0.7596997297213632,-0.5835896559227851,-0.2245663247270664,0.022862409838162505
v_gain,0.22524247324529437,0.011591208256107863,0.2018750516482248,0.21751315774060972,0.22549159602199909,0.23284074226865437,0.2487665734368172,0.0009347951068093185
v_loss,-0.16232545326160566,0.011491115832647204,-0.18430607954183523,-0.1698968511899882,-0.16227472325537623,-0.15505044384537683,-0.13828270527814676,0.0008501544395291185
