,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.915881154006652,0.24796468396381416,1.5209593149915732,1.7350457937012826,1.879287996436041,2.0782643937411143,2.478708889779419,0.01995191541294485
z,0.4710340200113935,0.019078949203412895,0.43415898249706975,0.4577952563511556,0.4710082810143319,0.48376011299132304,0.5088680179824402,0.0005962554674074176
t,0.5521674153424201,0.05718147598602357,0.4268427569967854,0.515914673203355,0.55891216725081,0.5937679252511227,0.6449511471144603,0.004401733033465079
theta,0.7570926676039181,0.0844951508093776,0.6019296720546143,0.6952477841970748,0.7531918692013256,0.8189404201721696,0.9185483764925797,0.006512580622634494
v_Intercept,-1.8491097306916369,0.2743345697727627,-2.416072607209365,-2.0220394392854635,-1.8412027888886906,-1.6656497573818976,-1.3116439749675861,0.020700025293945344
v_gain,0.2554826696776991,0.013206811344587528,0.22892554794875436,0.24694418261040488,0.2558489721691041,0.2641747975625483,0.2812009444524584,0.0007946126714127409
v_loss,-0.1170003747508425,0.011956777816258667,-0.1396985490443982,-0.12489678437564387,-0.117596028227394,-0.10912471313965955,-0.09319989236308635,0.0008632492804569257
