,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7757346678487798,0.17415684645655122,2.3288943074482003,2.6746637569796916,2.8116163568121344,2.9156717208873437,2.9933995686954833,0.011492985124741804
z,0.5415174990613307,0.025777450564971882,0.49164181420622133,0.5237873162204018,0.5416277014482318,0.5597377741434951,0.5904036550790213,0.0013204554047986617
t,0.7724651280495036,0.06060352395456005,0.6648297522377412,0.729202478659919,0.768540883364376,0.8128388070705223,0.9005616930585264,0.003532221912543314
theta,0.7194482739697081,0.03924677993153832,0.618971868097262,0.6982948801372325,0.7268940967357786,0.7474737748692916,0.7763879950882154,0.0024692307878181213
v_Intercept,-0.4478195567538348,0.21845706231035503,-0.9197425399357787,-0.5825657312396754,-0.44548412040859253,-0.2998436735265898,-0.042776217478394545,0.017167214116392788
v_gain,0.09922388673426487,0.005267256323843676,0.0892867146841181,0.09575956932374614,0.09917999017008369,0.10245438586244324,0.1107126507470832,0.0004025317371761813
v_loss,-0.11851875227521612,0.00997224722548844,-0.13754124076493296,-0.12549147290776658,-0.11875342277729128,-0.11193290505030096,-0.09806070524665841,0.00046336959330482567
