,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7850036460638874,0.17122753643574443,2.38098817710107,2.680113476088251,2.829218284257555,2.921014659391046,2.992701627819127,0.009573345449188628
z,0.5403231505699125,0.022641065913920486,0.49513291373126156,0.5252925877263377,0.540541657537625,0.5555998301822465,0.5845718716204409,0.000729066578793713
t,0.6152464774043461,0.06621721654082541,0.49526276824328136,0.5694625423954689,0.6105676354043056,0.6590971483560699,0.7542623009312044,0.0033225460884040866
theta,0.5959313655557702,0.043373712598225644,0.49167690423003163,0.5724443270193375,0.604683073498615,0.627097379754925,0.6573706598872767,0.002308090058826124
v_Intercept,-0.3294488296051447,0.21199429155070573,-0.7342435703387884,-0.4722845870441158,-0.3282024340168179,-0.18825979436552084,0.09206974999544704,0.012377941440310184
v_gain,0.08725520779792797,0.007082800202946526,0.07312085754900044,0.0825556713174265,0.08736722321745327,0.09201000314121928,0.10127860114437695,0.00037887984894726794
v_loss,-0.14661726137968553,0.012479031355440706,-0.17028861337231502,-0.15528331529557193,-0.14668312192298333,-0.13792163247068795,-0.12202364449354017,0.0006127432507717447
