,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6123569960238646,0.1509908104180803,1.3531856168535459,1.509450233675305,1.5979349434691976,1.7008975517962095,1.9507648525316896,0.00999418691154087
z,0.4030392870378934,0.023574095668755828,0.35820090994322795,0.3871036891459493,0.403030918848703,0.41843831164949796,0.4493150009303366,0.0007906783389370119
t,0.6494457024816227,0.04457560461684783,0.5508828006240318,0.6232651563165934,0.6534137050395101,0.6809179432075051,0.7248165762568923,0.0027649067670923277
theta,0.48335734634169775,0.07054800096592108,0.3425857068307311,0.43779910807274675,0.48275284283014797,0.5303654247697516,0.6237252654005062,0.004382317883865358
v_Intercept,-0.01254755780442498,0.27243881835244965,-0.5680649817792246,-0.18361518859877857,-0.006765840114786634,0.16559013645486892,0.5134532057620856,0.01688057798952613
v_gain,0.08954956858671338,0.006539935544493664,0.07654636466155551,0.08528407628642722,0.08959785395328443,0.09387105840567632,0.10236443147285988,0.0003301170448419138
v_loss,-0.1844788737147598,0.013316012220332143,-0.2091968296703266,-0.19344301314042758,-0.18523712742417575,-0.17588533479603122,-0.15575069419539816,0.000733857343054258
