,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7295310734170477,0.20137157294310704,2.256168999029193,2.6071709086129937,2.7718686179529106,2.8938637010748005,2.9874088196925017,0.013430891328875733
z,0.4755043991204341,0.025109207854138223,0.42550551708613527,0.45869946396498795,0.47538632364590694,0.49235632320699985,0.5257238718348546,0.0008929571885706753
t,0.6229577346597597,0.07276135436320288,0.4934722931419021,0.5713980555613161,0.6167768346313991,0.6701404706900991,0.7774372032593857,0.004252492299908508
theta,0.713372316743581,0.045159344162371995,0.6007016780869002,0.6896731793279484,0.7218713942585624,0.7462765544622904,0.7773167643914086,0.0029115711800729955
v_Intercept,-0.12422980759368761,0.2391747329170802,-0.592747531621667,-0.2904584313601932,-0.11618395828192576,0.042298245460542325,0.3302975667282899,0.014650489857077014
v_gain,0.1350321648282054,0.01343480216912489,0.10982205597690461,0.12589376597080493,0.1348350860139705,0.14395091877486405,0.16148430391758892,0.000707258342294902
v_loss,-0.1350565736009085,0.013061235749945613,-0.16213806514993645,-0.14362035089822847,-0.13485786716680373,-0.12651205236757135,-0.1098927270363849,0.0007078595712202422
