,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.627682478824429,0.11669136184847917,1.4044264896576588,1.5447000578294634,1.6266168728103583,1.7099359715724372,1.8561440703573229,0.005505721782057729
z,0.68426874423867,0.02452420036003036,0.634013503217633,0.6685237632722245,0.6852472190972115,0.7010429121221267,0.7295210573073414,0.0010529323122636072
t,0.65004518320425,0.030821692493182215,0.5829240047361796,0.6311983599643203,0.6521509703506562,0.6719130117742912,0.7038840643441997,0.0013115077334944622
theta,0.3549137868302728,0.05885398369103965,0.23281948512241699,0.3157903338006643,0.357442979245718,0.39818635769958327,0.4621055606386427,0.002673604325689636
v_Intercept,-0.22343621025377713,0.2809140836470333,-0.741758317172067,-0.4227252745841551,-0.24020545114831,-0.027042568555253547,0.31782615160148897,0.023746331928452186
v_gain,0.09546556968973575,0.006214369906283119,0.08366313198193832,0.0910233376313078,0.09576055233634184,0.09986989286650991,0.10683251444083677,0.0005145852430910316
v_loss,-0.13076535169359044,0.012645096006917517,-0.15553991987528704,-0.1393695379201307,-0.1303881362271375,-0.1220523319333386,-0.10647858149887249,0.0008114832588153782
