,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.2437370845175435,0.24304829734234518,1.81849576386614,2.0607337877250234,2.226636148020172,2.410263293565944,2.7674653715109137,0.01675877916584673
z,0.5287019117501801,0.01979933024359888,0.48872949468663296,0.5151443583106909,0.5292658896294624,0.54260990748642,0.5656071425439088,0.0007947566294608076
t,0.4094965891319471,0.07397712517792666,0.2512092528415773,0.359304986256134,0.41460106655969636,0.46509478559922884,0.5367678559253528,0.004852000187663677
theta,0.5076069403127562,0.0693660724358241,0.3702018489758434,0.45963150854480483,0.508173686143337,0.5585117957352639,0.6416385600936494,0.004577190513646792
v_Intercept,-0.6458275257834094,0.1997374191423758,-1.0475840182030847,-0.7794315145229522,-0.6366348167998094,-0.5002267550323074,-0.2691683309113479,0.016626139809674246
v_gain,0.10977353720214234,0.0046582859754445765,0.10100382426945313,0.10648959194976537,0.10957825508155905,0.11293676086069834,0.11902183661815308,0.0003858013610807834
v_loss,-0.15864759892568894,0.008804064428937998,-0.17515591604422787,-0.16474774807013048,-0.15911022310572406,-0.15281025466451018,-0.1405153530463304,0.00045065469156297164
