,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.471986850666568,0.2842460895374901,1.8998691082224188,2.264983245013423,2.483376774835902,2.686326188559205,2.957003010773445,0.02262802679182775
z,0.5866545483195038,0.021774726475963596,0.5425018061412569,0.572778487006788,0.5867624997531975,0.6008037292625362,0.6288295625933341,0.0008955510619088824
t,0.5473123603860959,0.06519583032088622,0.4216937912455095,0.5015353459777606,0.5492683548072022,0.5953458450709775,0.6689948729577865,0.004879600446628653
theta,0.8096572956045317,0.08136941378140958,0.5953785335696001,0.7705613582694125,0.8255083613412837,0.8673821071397662,0.920769706123012,0.006163305157868429
v_Intercept,-1.3170302285926578,0.2699162814721071,-1.828700643272024,-1.5060004591459135,-1.3175584726784004,-1.1316087975457054,-0.7929986795550266,0.018372667933993697
v_gain,0.23800235695216324,0.012723101305050182,0.21101930343190065,0.22985139800192012,0.23859518672461355,0.24682819309273207,0.2614934176955594,0.0007548332788709253
v_loss,-0.1326334700070654,0.012266594379278458,-0.15588732874583636,-0.1412016501648521,-0.13270498357980934,-0.12439637913343093,-0.10710163901885064,0.0006776223579161948
