,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.028525843662291,0.20247894906338504,1.6957735800689644,1.886781649709013,2.0048256288565476,2.153371570292578,2.4795073970215413,0.012539151151257213
z,0.48864221950442804,0.028759535454894177,0.43438105692536544,0.46850472671297694,0.4883466744664702,0.5078048045100961,0.5455230348354223,0.0010423705306062377
t,0.7557285955959933,0.07392875214822756,0.5815176326812069,0.71158377495155,0.7648986967526904,0.8098488667706331,0.8739213928647971,0.004388898638260684
theta,0.47440696863737775,0.0651483758823192,0.34905571645240996,0.4298310584728372,0.4745617813604303,0.517850154111072,0.6025271557739849,0.003789755321660484
v_Intercept,-0.6614593747299664,0.2623974255796866,-1.1886935954301632,-0.8452416829858282,-0.6500323778046683,-0.4769889878625971,-0.1594897706270499,0.015252336534283439
v_gain,0.14911391130081172,0.01482176487675926,0.12015998737123527,0.13894530733485416,0.14943099119582914,0.15915995561844892,0.17726034675867464,0.0007139460645179272
v_loss,-0.12925139418339063,0.014256643876746918,-0.15644183304357515,-0.1392805547974116,-0.1299077790754952,-0.11990652853600202,-0.09951691666015092,0.000731666342009475
