,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.0954860354569598,0.1908612459732478,1.7701623467964351,1.9592590897070343,2.0770852731289504,2.219225975375037,2.4951511472222347,0.012922056309528123
z,0.3099621954997742,0.029810322731530045,0.25575295585077684,0.28921903194167914,0.3088980425702949,0.3294538798096758,0.3726693909186273,0.0015207662953842778
t,0.6848556354070975,0.0447324438677935,0.5780793324187634,0.6607619010077701,0.6915086804845334,0.7159126002324858,0.7521504299595556,0.00274518257728725
theta,0.7486735052768196,0.059612631462066995,0.629232802470131,0.7072555810973477,0.7495906900639852,0.7917282787102817,0.8592232441742156,0.003777492187602754
v_Intercept,-0.46540913972354064,0.3282037484418769,-1.086198188519267,-0.7015045552314099,-0.4657677992691107,-0.2390095907323667,0.17398140005755264,0.020708476807734258
v_gain,0.11673184325925448,0.017278384183290287,0.0826972423557866,0.10545099950626435,0.11701538018084891,0.12829214921807372,0.15135248781416288,0.0008558480402045514
v_loss,-0.10828151218062543,0.016557278651654173,-0.14078898252349914,-0.1198306315631946,-0.10790443792953282,-0.09688118947997097,-0.07659172631652303,0.0008666285114159423
