,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5483743156507117,0.15781011160581412,1.2869527115948816,1.4359645004277737,1.5329461730230838,1.646220460826612,1.8826053780962915,0.01001563615570209
z,0.49956087187465803,0.022346027225795567,0.4552464582222292,0.4846096711161846,0.49975719747760206,0.5142635266993414,0.5438743679875618,0.0008407815853665228
t,0.8405632313544396,0.049697951337866315,0.736918806739687,0.8092391429074174,0.8459238870321241,0.876875950421879,0.9229347837609547,0.0029421551231355865
theta,0.40727603367096216,0.07879224220124036,0.2571459294794339,0.3543730506734172,0.404722569105424,0.460281089275558,0.5586856822398909,0.004724975306482574
v_Intercept,-0.22559606067350568,0.2911802821803509,-0.8072039486638789,-0.42173324844665905,-0.2226045843079659,-0.032705684962345494,0.3573091460474395,0.024512611750807996
v_gain,0.17832256468528312,0.012397615725359754,0.15428047113507293,0.1700018929118947,0.1783594981243729,0.18620337528484818,0.20305675489724612,0.00074252571005886
v_loss,-0.17967212337104926,0.013189299335089597,-0.20557599170349003,-0.18854535086213714,-0.17971755382923993,-0.17080798763579882,-0.15382113298172248,0.0010817579656760394
