,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.518420622200228,0.2600904329292921,2.037649444177108,2.3100725402633375,2.5172729669647915,2.7288812583345923,2.963549404409208,0.018461901160942366
z,0.5010003393705001,0.03190840369861309,0.43521773273429176,0.48005682807319894,0.502011980074518,0.5233104316534569,0.5616292801616735,0.001407177797502861
t,0.6828100592397157,0.08092400924992052,0.5210498731836639,0.6259962938500486,0.6855230423070708,0.7424036927151711,0.8280886682485185,0.005405920209787141
theta,0.6821797784741584,0.06529472760001362,0.5501184150398151,0.6345737717235258,0.688132137064113,0.7345387538609384,0.788371799991581,0.004388398307816504
v_Intercept,0.6384810843178593,0.26461463762914533,0.09750681291466026,0.46840867536032416,0.6417395130579634,0.8244762288233589,1.1357384052770518,0.017084087459785714
v_gain,0.06727315549390851,0.0067038627518726185,0.054424175721698435,0.06267997772575651,0.0671357573645285,0.07169126651563142,0.08142246166131342,0.00038078786629089855
v_loss,-0.11802584371163122,0.013358327097231212,-0.1423090352836079,-0.12723116429658432,-0.118424044704545,-0.10893129289306518,-0.09069246837552726,0.0006788077857602836
