,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.600642590705775,0.246748315683075,2.086126328720657,2.4254502495835566,2.6221916072675127,2.8044826560012734,2.9761275265892047,0.019218180027753023
z,0.48854154327596994,0.02231968402754597,0.4448347089044181,0.47354700663981397,0.48855394368593397,0.5030690561609011,0.5341468704854019,0.0011098215848707339
t,0.5023937831614649,0.07030783318353964,0.3829571946852011,0.4486831025300823,0.4978839311243922,0.5536364416959443,0.6451690267991064,0.0051855778985123845
theta,0.7608948159900524,0.05204354601045013,0.6433133245340695,0.7291337170831605,0.7678284145215695,0.8016788354333706,0.8393676899922191,0.00391078359807231
v_Intercept,0.3795592195077585,0.2481320237243278,-0.14682073054691874,0.21846371068593276,0.37745457872342425,0.5539587182380123,0.8435583608431494,0.020717958060812055
v_gain,0.1417334515297704,0.010277326192435782,0.12183692660889375,0.13500784360237542,0.1416756088586396,0.1484676278181197,0.1626237363060806,0.0005326609061906061
v_loss,-0.2009510411835118,0.011814945565072328,-0.22277481267319696,-0.20943037673748835,-0.20091922460160622,-0.19302476230158047,-0.17713036455090359,0.0009763791919168505
