,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9298415567502498,0.17718512309296716,1.6075957394648834,1.8085147297785347,1.9170060568219727,2.0438234014242513,2.3107166640506493,0.011095227624723012
z,0.4139534615575772,0.022789698689756794,0.37113833984150635,0.3980984416772789,0.41361462677699157,0.4294623614170784,0.45825759324773785,0.0006945764419845342
t,0.6009573863823137,0.05804674168369527,0.47941006068557757,0.5642495036773496,0.6054235388100889,0.6417299213523997,0.7039957559359858,0.003317045360090899
theta,0.44785425842195353,0.06465412407578665,0.3147893351446254,0.4056965782190822,0.4497684781096755,0.4916325790425312,0.5711309499109019,0.0038828869653143145
v_Intercept,0.4449333903526564,0.24433598190157244,-0.025915126459598474,0.27624178085968515,0.44367950412436463,0.616835490248518,0.9136597615751103,0.014706099325289485
v_gain,0.07776672456977192,0.006736065677181674,0.06413928119349857,0.0732312187711335,0.07766542509327443,0.08242990937196341,0.09057206847672186,0.0003516654095511092
v_loss,-0.1662815758642895,0.012294362612044306,-0.18878659758759905,-0.17528114986132423,-0.16681620726996596,-0.15794563844266885,-0.14079861344769157,0.000567525229886663
