,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9974416649169215,0.16829130255562308,1.6957672234645518,1.8815419086390652,1.986589130670295,2.1031069318006326,2.342854506376525,0.009567918288875174
z,0.6064369725368768,0.02374470975625166,0.5575180433171102,0.5902974270435699,0.6071395699518595,0.6233987519454601,0.6491749932080858,0.0010384919015966145
t,0.7400104883378544,0.044095684054162816,0.6417851886993113,0.7123435490608204,0.744215420900533,0.771484906378201,0.8160346075875492,0.002274298098187248
theta,0.6008160919504908,0.06433146429384907,0.46753927673606605,0.5590345746179258,0.6029934386627979,0.644834581516514,0.7206116644201039,0.0034912916857669472
v_Intercept,-0.37530658907306697,0.2743131450628201,-0.9082718885837032,-0.5563142719935787,-0.3840900355970495,-0.20847464271730565,0.2275556661117869,0.020019341767625407
v_gain,0.10220273334209896,0.006663131872110263,0.0877021696946628,0.09809215995053447,0.10244097679602022,0.10664280541968943,0.11472927594206217,0.000457165255955132
v_loss,-0.16334682666130704,0.012050004470307947,-0.18617624702942429,-0.1715772509802893,-0.16376691971173907,-0.15534753353873262,-0.13892765442702334,0.000609015487660892
