,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7795098210762297,0.16388822034413744,2.391049111039618,2.680415014270009,2.811909682637735,2.9127573256175143,2.9920878658185903,0.009341285508078282
z,0.5421889858386324,0.026085027387385322,0.4894745469525251,0.5244564879474081,0.5425796304954865,0.5607614039160883,0.591011711600847,0.001147855815503334
t,0.5183682206539093,0.05885083621708246,0.4104734443766725,0.4774994556450779,0.5153356903712474,0.5555742229936732,0.6438428132947015,0.0028222858642662045
theta,0.722202832755265,0.03779190872152723,0.6380515063856237,0.7005302957925371,0.7265980622179665,0.748471358046758,0.7850220491565841,0.00200441509186057
v_Intercept,-0.2861844387820803,0.23474618865492614,-0.7211752808319825,-0.45119680971376164,-0.2935183084478753,-0.12478764690597283,0.17758478685127588,0.015330600140822048
v_gain,0.12740219059640898,0.011140453848873966,0.10546048631358786,0.119759193402196,0.12718620165585426,0.13526898815120947,0.14875611820367465,0.0005447179081998546
v_loss,-0.15926629970551653,0.01281413382146904,-0.18428150156524817,-0.16763077092855935,-0.15953218913744036,-0.15095601109508186,-0.1329226635936759,0.000765213591774934
