,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.072166584580922,0.21090838541545345,1.694925618880696,1.921823208881238,2.0614496579402157,2.2062567945745593,2.5241294351289985,0.015361108350885916
z,0.5685380712293073,0.020036464827566568,0.5313391247698417,0.5546142340357529,0.567727510967998,0.5820110711792069,0.6091547265321391,0.0009137955646850596
t,0.43429504496779375,0.06375874933862088,0.29933918030339507,0.39401891316196896,0.4381136408912392,0.4806388217115355,0.5443106926679075,0.004405607102833624
theta,0.5163775040229155,0.06600857691017062,0.3850744020282324,0.4719807654550544,0.5165120044648385,0.5610198494978,0.6461448050330516,0.004514214865915116
v_Intercept,0.4017849293045872,0.25022210801870065,-0.04393554442497407,0.2268739508383796,0.38210287675612775,0.5607749796126165,0.9119595405410572,0.020216375901889183
v_gain,0.08321457261178135,0.004834573680878096,0.07339656714800404,0.08006151814884313,0.08332726243619362,0.08662816316876051,0.09193126673481371,0.00026115260088105656
v_loss,-0.20846603664728044,0.011728660952973438,-0.23219606759399258,-0.2159458518146202,-0.20762486724856746,-0.2004275796618456,-0.18644592748613528,0.0009404428438199065
