,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.8605212078338544,0.1148246452791147,2.5628150728593226,2.7999827497588856,2.8907251927829405,2.9486474900298765,2.9950603881238034,0.006164266318898065
z,0.517410869431409,0.03176545743687347,0.45381096983793456,0.4959210232722071,0.5181922673571755,0.5394543939489003,0.5778516308449999,0.001924482027437137
t,0.5585500025187154,0.050368072752161194,0.4562395905451345,0.5247974986768132,0.560092238707841,0.5927185370282891,0.6572493818613516,0.0029371229270660692
theta,0.8900003664006795,0.026618921131723212,0.8298741283079812,0.8746416141612209,0.8926693556211582,0.9078709812646694,0.9362924396704152,0.0012449450732846478
v_Intercept,0.600972428266471,0.2535887188393905,0.13027519702003076,0.4229528174487294,0.5953881221435268,0.7770012555275105,1.126700840559531,0.0198544213255656
v_gain,0.07316895267698888,0.006093702624547022,0.06075917427757482,0.06909657724332696,0.07327261806109411,0.07741985997900622,0.08478377818794113,0.00048229789748649736
v_loss,-0.12065810711591031,0.011712667171890939,-0.14397547397072952,-0.12794954511096823,-0.12054611913725033,-0.11272486249112218,-0.09818343707412538,0.0005863753013004502
