,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.0372356624204433,0.22092874457743888,1.6400813681870856,1.8857605940024533,2.0235610474360026,2.1735203282940083,2.5132168811985185,0.016976244760602676
z,0.6864448897341525,0.03029314196978702,0.6215321076308772,0.6669464829341912,0.688376433359121,0.708293081283303,0.739916695694428,0.0018081025706732656
t,0.5857766778802064,0.031982429960777894,0.5081002965278688,0.568405790258216,0.5904088561836471,0.6081928832159961,0.6351143131411235,0.0018404203020127418
theta,0.8859859566595234,0.06799231917485482,0.7348522381394896,0.8437155869552314,0.8914920382312822,0.932682250687623,1.0065242761221531,0.005109684695062208
v_Intercept,-0.3134721247855213,0.3530906083319632,-0.9661281066646271,-0.5730818972040753,-0.31763430457865033,-0.07000717071207893,0.4068471463165459,0.02631543149172923
v_gain,0.09070100964371863,0.008263598970201024,0.07363985455731087,0.08521088487576409,0.09084097073200348,0.0965834999723837,0.10588988141285458,0.0006063282690008406
v_loss,-0.08768020775853631,0.01769575324692828,-0.12359475812744994,-0.09960477422727297,-0.08697174997683552,-0.07576305241968259,-0.05424955026996106,0.0009967227702283388
