,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7233581239613014,0.17336219402160433,2.3399563867111133,2.604215551333648,2.742608178241859,2.863553015514072,2.984193828894778,0.009875621575171904
z,0.6669108669196853,0.02579473884905745,0.6144845192725412,0.64983614522429,0.667685916608358,0.685448566159526,0.7143406402605195,0.0012305779338582967
t,0.6102810302023365,0.05297372586755653,0.5016271074104126,0.5752274073852531,0.6121846473880883,0.6465234619811172,0.708729869354975,0.0027618404464185855
theta,0.6255219980469326,0.047002715731006006,0.5181102703188508,0.5972935661821251,0.6314043059432791,0.6605500204311295,0.7011836022071887,0.0025304542438158574
v_Intercept,-0.03890754213895455,0.24046942234967786,-0.5325119530555842,-0.1990896998840113,-0.036980196803263844,0.12210838149660837,0.43205650315369865,0.0169375691844981
v_gain,0.09227672741337462,0.0055822947400136075,0.08137152581600827,0.08865592031652453,0.09222253595870954,0.09594623061411026,0.10331726818683008,0.00037381478503715413
v_loss,-0.15206959950128907,0.011411372031511201,-0.1738457423211824,-0.15997942096513096,-0.15211646873615123,-0.1443157129038702,-0.12928617075888368,0.0005878914917143471
