,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.7354824469689776,0.1980057566205112,2.27181968362038,2.6176838376329528,2.7754015207936664,2.8950610742664407,2.989735071951958,0.013311396539509357
z,0.5046251070452374,0.0193270634288281,0.468165550145232,0.49139852167888454,0.5040991984790536,0.5172040938970519,0.5434510973890625,0.0007402888636041966
t,0.5968103163118317,0.05924212800653931,0.4953568213165317,0.5543657644063944,0.5901832218205322,0.6346048432821692,0.7226646899987658,0.0036072906017427762
theta,0.6581845722837965,0.047505692746717156,0.5435438335530748,0.6326286509322033,0.6672391180210043,0.6934452989526166,0.7251235600085202,0.0030211931539507776
v_Intercept,-0.9427235396257544,0.21383082460637187,-1.3767145040388218,-1.078694779929183,-0.9345142328815907,-0.8054285937015763,-0.5411074177724897,0.01601850194037699
v_gain,0.11066460876226157,0.005063037864911689,0.10028340748107716,0.10736665594959915,0.11084337385530582,0.11409562581786217,0.12028885486406747,0.0002540413881618793
v_loss,-0.1535644721183365,0.010070434103958423,-0.17154585520274987,-0.16041241019712107,-0.15396870669543236,-0.14720488256179864,-0.13230931732192733,0.0007089319197925156
