,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.204859390361312,0.1965678653255044,1.8576241047921631,2.065683202335534,2.185239446927167,2.331098823089824,2.618209961751641,0.011257189416844986
z,0.5588298336031493,0.032875458717830534,0.49175793241981336,0.5366187845663822,0.5600085322851517,0.5818857787987077,0.6199973343723386,0.0013588713558142585
t,0.659453446328062,0.07345834485394476,0.5027382671135622,0.6114629004318375,0.6676097324319552,0.7118861929701629,0.7830012591806901,0.003967974480170802
theta,0.5007955380934828,0.05935016783254018,0.38182611225368795,0.46131114782154753,0.5000813725941377,0.5420278963024929,0.6151576471256689,0.003209552072746512
v_Intercept,0.5653309127774425,0.23838672488646787,0.13034531867996896,0.39394443511316074,0.5591676362856924,0.7254028162486548,1.055490414767746,0.012703090218715093
v_gain,0.04905395854684102,0.00653964157475607,0.03609813405653797,0.04480407830308808,0.049037418438746073,0.05351002362663054,0.0616508190086159,0.0002875481141003583
v_loss,-0.09218174600306742,0.012774179670863237,-0.11742608507982294,-0.10091426154744217,-0.09209374119525335,-0.08327303921200979,-0.06806323585201299,0.0006091177170895872
