,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.6338815906019384,0.13806196291183123,1.3666687697876603,1.5374204116741523,1.6315954781802844,1.7283651392597206,1.9135111989000462,0.006234307763882795
z,0.6594314187542067,0.032182315102959595,0.5924420067002902,0.6387412689009655,0.6603256070774159,0.6819056191337368,0.7189238407018312,0.0013923842534010753
t,0.67310058356206,0.04268939200896559,0.594247545440663,0.6421849040276212,0.6702823653959746,0.7053795935675959,0.7521172265467461,0.0018250596921699819
theta,0.348978791639798,0.06931606692008338,0.20596059432861025,0.30373371392617443,0.35024932817980775,0.3979186471796782,0.47750080081713225,0.0029301047554485538
v_Intercept,-0.5960530607997832,0.308261025206217,-1.1843707553867606,-0.8197113244129807,-0.5855891902517473,-0.38479893058353276,0.0034176919450055465,0.01951138979228449
v_gain,0.09211669674360493,0.007963847382374415,0.07617731734359909,0.08676964630902476,0.09237003472874943,0.0975901242715248,0.10722884301423169,0.0004443160553868281
v_loss,-0.07106708754407702,0.01534763859819248,-0.10092597519592567,-0.08137034486701344,-0.0713143278839406,-0.06078876578628314,-0.03997573404726301,0.0007533858779213141
