,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.063954573698825,0.19817092687639176,1.7100923719968688,1.923610974084538,2.056610700047105,2.1939782129646703,2.49787551282806,0.012627594564965317
z,0.48800314050156074,0.023865426496484002,0.43882957877464324,0.4720287839379813,0.48836094075189207,0.5038225368743662,0.5340192107077015,0.0006916205170432958
t,0.533050532411413,0.07241409635541927,0.3728186596166564,0.4879647079450406,0.5397428491140875,0.584089486067936,0.6570519432027744,0.004284312573938158
theta,0.42376942438028603,0.06360053742444387,0.2946741062648629,0.38196837843496634,0.42660474295689355,0.46775464122539645,0.5442983977081803,0.003881178138781193
v_Intercept,-0.40488282082680976,0.22588120458278,-0.8400818665912193,-0.5589691280015808,-0.40614313867660856,-0.2518169059869853,0.03862085981525158,0.013261763691612093
v_gain,0.09389300792296551,0.006781174062078564,0.0801192502623952,0.08933600809642689,0.09408560856733095,0.09857211228542,0.10632967157400447,0.00034326047683794886
v_loss,-0.12695338596289218,0.012714897622362819,-0.15054636778888475,-0.135716473290238,-0.12727091945075916,-0.11849493295210264,-0.10138073458473568,0.0006241212394264515
