,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5377911762651857,0.18576338029462697,1.2429287335428847,1.4100192122012933,1.5144170047715038,1.638851330954719,1.9952036571108756,0.012273434479981185
z,0.4593156603062015,0.0277025701656196,0.40888503619913574,0.4404757622707036,0.4577943869200647,0.4779321927649146,0.51765998281406,0.0014509353211586134
t,0.613437321976396,0.05688466989221509,0.47602906794187216,0.5844938904854996,0.621403848885278,0.6521957237073209,0.7013374616112165,0.00365340776109307
theta,0.4514704364807946,0.09685584518240108,0.2671940117116568,0.3882329618776906,0.447616825931297,0.5100741314407017,0.6614824784686124,0.005893667142003775
v_Intercept,-0.29229919606588106,0.345126808206234,-0.9958953230383175,-0.49294920549542526,-0.3150433811430649,-0.101988808128913,0.3883717664224781,0.0317461517884822
v_gain,0.13897630173745334,0.013562197497322438,0.11150504365237403,0.12995890880667874,0.13922298114220033,0.14822242983364853,0.16488535905537627,0.0009383476443134478
v_loss,-0.16756411057038048,0.015258344835182217,-0.19649551486897837,-0.17620279359181165,-0.16684776107521845,-0.1581882855970829,-0.13647281033639433,0.0013956184534494776
