,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.8417517667496575,0.18284575288470936,1.5359109530544754,1.714875016695797,1.8228919371064665,1.9428300754987218,2.2808740792091537,0.01204813576413041
z,0.5403731690416484,0.022896643902735127,0.4956056115707812,0.5247571815644806,0.5406604927567689,0.5559885765636042,0.5853818693764522,0.0010380675355831485
t,0.5465734066272591,0.057247289009915006,0.41309612769970805,0.5140125271312164,0.5530340027071654,0.5859709694613537,0.6414854562127087,0.0035420668176826403
theta,0.4461598921391586,0.07000204905769418,0.31453272547683114,0.3983271271144569,0.4438308204527987,0.4910581802418864,0.5968642139055931,0.004311775249645153
v_Intercept,-0.9779063390959125,0.25338576243464817,-1.4498187637712918,-1.1583933580730623,-0.9828127372726836,-0.8145553290102878,-0.44945733493513246,0.02231246861613869
v_gain,0.11243880554675707,0.005677905770107838,0.10071057178695295,0.10871095078667195,0.11278639557958027,0.11650576639917726,0.12292712589704496,0.0004971846994352023
v_loss,-0.11350802667650547,0.011343636345841561,-0.13584095684528688,-0.12103220377580674,-0.11352116432081201,-0.1059001971254101,-0.09106811263596938,0.0007151190779307595
