,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.1595432553338383,0.2385771582527709,1.716193357582922,1.9858528985900947,2.1605398622410785,2.3226704495835,2.624614787867578,0.018763984405634294
z,0.5665963139810676,0.03155666271336057,0.502131038718686,0.5459821374998411,0.5671626130972497,0.5883838884250374,0.6270167400334912,0.0019390923903810301
t,0.6400076394205989,0.055756410203594856,0.5207429001373076,0.6041357262405364,0.6440936442982801,0.6793091242970444,0.7388314398435174,0.004178628582553193
theta,0.8954083332276845,0.06009615737681404,0.7716938321674032,0.8561349783157415,0.9017461403330286,0.9376492669669078,1.0019851032630813,0.0045390704845528285
v_Intercept,-0.26598171043311924,0.33938326771324157,-0.9366506849557326,-0.48664627195854837,-0.25794849800312125,-0.054506123800371634,0.4069885813103876,0.029264005285815027
v_gain,0.09077043436001436,0.007766402678806803,0.07553289310520621,0.08588068925580379,0.09061019648456214,0.09577511505863887,0.10585890448474589,0.0006631138644719794
v_loss,-0.087722045069021,0.015037747792916879,-0.11786897849986602,-0.09757599152924337,-0.08780499248496806,-0.07722185108874588,-0.05983275663432448,0.0009259538561766222
