,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.663320436997338,0.2052327607221198,2.2331294152978773,2.5165837586200817,2.681634922321882,2.827344181930939,2.9814540591519565,0.013776182285244678
z,0.5472006145594038,0.023226755294880143,0.5011901931048449,0.5311577696814237,0.547248640565653,0.5634192915898013,0.5923695862281982,0.0007115093390040315
t,0.6099225041662341,0.06760845516826909,0.4831198076035675,0.5618673058160998,0.60748914012854,0.6565123601619325,0.7417737850392695,0.004114838267705206
theta,0.6654057184433009,0.04636826233941293,0.5611898345017756,0.6361112152520734,0.6709452147840715,0.7005813860951581,0.7379048053291344,0.0029456419170345734
v_Intercept,-0.07920258129812946,0.19996617681261514,-0.4592322014205452,-0.2185519931666998,-0.07573837182803742,0.05564690877417189,0.31707995540144385,0.011623898695857351
v_gain,0.13890209866814213,0.012122775717594137,0.1142218116206467,0.1309533768699948,0.13925040152720375,0.14723096538517405,0.16186122726754593,0.0006192657453624564
v_loss,-0.15959789433736482,0.012749953172582658,-0.18422670465907437,-0.16819198483250852,-0.1593979738277924,-0.15109448625468297,-0.13471348153400808,0.0006622057828223328
