,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.009788169478083,0.19128623255444469,1.672057717069249,1.8727492726130177,2.001381772919601,2.135790928793395,2.4058575845944477,0.013009637822367115
z,0.5791507394425539,0.02496219635806562,0.5290676987688022,0.5628191780459356,0.5800274998770037,0.5964214438104684,0.6263222166745728,0.00087755786835929
t,0.6711475101815904,0.06446411627057233,0.534706688386813,0.6315773787834771,0.6732865296421782,0.7148202612579262,0.7916309719669831,0.004077179106207802
theta,0.5622703833906684,0.06519534052536945,0.4328305845577013,0.5177023244152161,0.5626891727903341,0.6074560187589538,0.6873098297645472,0.004266237137430593
v_Intercept,0.04633236800760918,0.25111072501100545,-0.4556237619650082,-0.11970577295015013,0.052463514939258604,0.2127547437440349,0.5252047255815941,0.014472219607239522
v_gain,0.15493481579935456,0.014646404021355341,0.12703074580029888,0.14509275279369915,0.15479084578982089,0.1646883668198046,0.1837674545370712,0.0007262068920994284
v_loss,-0.15848972892207616,0.015040568084305773,-0.1877818044009367,-0.16878308455434662,-0.15845057761146217,-0.1482208144394118,-0.12880585998244695,0.0008264275955176942
