,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.958627462221142,0.24428584574393086,1.5605983297363544,1.7864766936981116,1.9339343322094888,2.092697500710943,2.5116807056228625,0.019268644821541163
z,0.3885663818805095,0.021804558524553867,0.34659915264044083,0.3735911978725214,0.3880153007400656,0.4031486092804343,0.43135560650201554,0.000813704517521829
t,0.4944799803879876,0.06816002741388454,0.34074281164840553,0.4579533241120985,0.5018881178439706,0.5426656076612694,0.6039254122455179,0.005119721731896449
theta,0.6365067654985362,0.08849508387930054,0.4619953491515568,0.5764269916670669,0.6414813872434533,0.697477969105385,0.8017703987216401,0.006596383703559081
v_Intercept,0.242340459100495,0.27170870922310697,-0.2797929134861059,0.06075049309701311,0.23326687695301096,0.41715013824757613,0.7943868725551761,0.01904697358455917
v_gain,0.08200113972427898,0.006841377914328041,0.06812622774357605,0.07742779182432914,0.08218950546532512,0.0868037671250932,0.094626373373457,0.0004390528579435193
v_loss,-0.13657541906310552,0.01211834145460181,-0.15956423999939043,-0.14494360800623204,-0.1364390116790458,-0.1282415004252721,-0.11333464737436413,0.000581842589321929
