,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.0769029822589236,0.28091092605925594,1.627312420424699,1.874471417379394,2.0426477604240665,2.24236243583562,2.7458834902333753,0.022330875140349475
z,0.5402711771910503,0.02311396797656596,0.4962754442932953,0.5242817868576325,0.540067946159601,0.5555731154478476,0.5867985146656883,0.0008892803551726143
t,0.655429033319565,0.07282334715798551,0.4894614033240296,0.6125010020419999,0.6635872946140906,0.7082120723500513,0.7769998113302058,0.005435729673092854
theta,0.6877321648147845,0.0960606890910743,0.5109142889793887,0.6163162786136452,0.6850204740222124,0.7592162753091298,0.8698739332495931,0.007241841836336517
v_Intercept,-0.6861619142096052,0.25498118040147366,-1.1801477153668647,-0.8581152560562101,-0.6888899681020286,-0.5141334081294255,-0.17833400889337764,0.01876419637859412
v_gain,0.15007241050722966,0.011476969944470002,0.1272069879010317,0.1423164848946094,0.1500035611653865,0.1578015487014781,0.1725058261793623,0.0005619606629911778
v_loss,-0.14798881257129692,0.012119513587649395,-0.1714411525347988,-0.15625496188699847,-0.14784026868747255,-0.14002491171722334,-0.12339556117245484,0.0008525538932608864
