,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.138918287864098,0.3142767371216211,1.6352773364781137,1.8937861330420809,2.117676463985942,2.3464078639416863,2.840880832970693,0.026201133296174357
z,0.5655866278015341,0.01626430145830218,0.5345219458687964,0.5545668963011059,0.5652889042327452,0.5761751004046374,0.5983812449660958,0.0006160876964272928
t,0.5120775948713278,0.075725532655066,0.3459157717536572,0.461746745241551,0.5172939116142069,0.5707527947814832,0.6369708762044609,0.006137906391897785
theta,0.7376176415843801,0.09462667306318076,0.562905718580296,0.6667385571538651,0.7371679738446983,0.8102200529780008,0.9137652860368051,0.007567179595001389
v_Intercept,-0.1536224366286647,0.2641945386900683,-0.6847299525061631,-0.3261386758303211,-0.14186756710667095,0.013010301846537994,0.373290279528242,0.02257322475015116
v_gain,-0.1889689017507621,0.01074479054045022,-0.21006196090267157,-0.19580991607628018,-0.18914727231720369,-0.18209784520870168,-0.16741372042894825,0.0008775423472328056
v_loss,0.2003780304638837,0.011021441232110128,0.17844713392663133,0.19336028614371373,0.20028106660622888,0.20780442596589022,0.2219975044563641,0.0008859131206034093
