,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.0665369133258418,0.08684629000583577,0.9168744008748269,1.0056078954713568,1.057650263101404,1.1185282193693036,1.263497784364477,0.004436432701232127
z,0.5659442360631007,0.0211207713788572,0.5248901399633465,0.5514331798365854,0.5657600501319674,0.5801622250408487,0.6070677626675893,0.000572781277410525
t,0.6313722251344649,0.024999303934757237,0.5714980745532592,0.6178750653792666,0.6343845270932559,0.6485057378736808,0.6722751850181535,0.0011820770057956703
theta,0.3269689797910427,0.08195895299594246,0.17128691443787653,0.2740132686294181,0.32509516993301174,0.37880737497181716,0.49982018992219546,0.0038386022687242603
v_Intercept,-0.26355242318439315,0.3465600874239182,-0.889612137364862,-0.5103565836920965,-0.2755348536086335,-0.03080240808200102,0.44419664159414374,0.02722385626897524
v_gain,0.1905165254953547,0.015126114890398487,0.15952983647615585,0.1805020476534932,0.1909928812173262,0.2008531814220576,0.21888076022749484,0.0009063430210576147
v_loss,-0.17944929199522258,0.015349745950658729,-0.20967191856969103,-0.18988473103663164,-0.17943512858183447,-0.16897805912810465,-0.14968458667044157,0.001185444381989549
