,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.3663996645069092,0.11672708059458622,1.166466207494279,1.2819622538554256,1.356215636972915,1.4411283325975606,1.6173421173438438,0.006066192361046007
z,0.6052953761267099,0.019858696819672773,0.5665612165773131,0.5916751030498526,0.6054058801399411,0.6184943259706257,0.6442239112705163,0.0005307493435552919
t,0.5937495683841086,0.03205484795772716,0.5221651226796582,0.5740737480918644,0.5971209997745602,0.6161446149067876,0.6489448573365655,0.001575995037312574
theta,0.32483568313267636,0.08660692721742967,0.17130860438226417,0.2616645233828344,0.3188445908421131,0.38516118528331134,0.4979637054033458,0.004068945519084341
v_Intercept,0.09534978604104705,0.2602751583696433,-0.40974095460353455,-0.09009100706154834,0.10188072701097751,0.28221659198678906,0.6028406544985114,0.018442612645838394
v_gain,0.18555931864921907,0.011197323894300178,0.1627181714734149,0.17816858492070195,0.18560854430524856,0.19312631413883904,0.2067540650353368,0.0005980120386804161
v_loss,-0.19665498290727423,0.011499550246223308,-0.21765384757880304,-0.20486553523371642,-0.19680295203591394,-0.18876670865614328,-0.17387556352752298,0.0008020369636428746
