,param_name,mean,std,2.5q,25q,50q,75q,97.5q,mc err,sub,model_ID
2036,z,0.5619877454718513,0.0238570621006563,0.5138101174971226,0.5461418370716178,0.5627924509023102,0.5778770909842637,0.6076492000798206,0.0004198154052992,10,4
2037,t,0.8965717820416675,0.0268565878326291,0.8400614184778744,0.8795048960864502,0.8981243591060312,0.9152331871178748,0.9449294813391788,0.000478124418596,10,4
2038,v_Intercept,0.1345871943802691,0.2409235802787575,-0.3409263233705438,-0.0296575174155958,0.1398380713557317,0.2967645460463913,0.6017040750819072,0.012267713584345,10,4
2039,v_gain,0.1776607828954417,0.0133365075008992,0.1506430580017989,0.168631164873678,0.1784166594769268,0.1871229464381907,0.2020089407541062,0.0005963192726296,10,4
2040,v_loss,-0.1832401166392901,0.0136134353129998,-0.2075839319586951,-0.1926096145067948,-0.1840392724894566,-0.174691398269844,-0.1538248399788809,0.000633194981119,10,4
2041,BIC,655.4875486461623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4
2042,a,0.759472885535798,0.0325558351621854,0.6983004106853112,0.7368344277789235,0.7585082733386782,0.7806564598475233,0.8266728999425168,0.0006206292979523,13,4
2043,z,0.5144756042243017,0.0298513344957835,0.4545812155810229,0.494659450553115,0.5151416437397065,0.5348422622182214,0.5716432326134515,0.0009372101918832,13,4
2044,t,0.673506696267297,0.0114031351203744,0.6492947632421291,0.6662916253109252,0.6739822616873065,0.681421810878587,0.6941037765881818,0.000290797647835,13,4
2045,v_Intercept,1.0457593290998584,0.3902193076081847,0.2508711354849827,0.7803261114958719,1.061587080266445,1.3084579037848976,1.807851462954761,0.0334642740573845,13,4
2046,v_gain,0.0573642106013697,0.0085852689820525,0.0408577090604713,0.0517107810335034,0.057137934165291,0.0632661573944875,0.0747365463574653,0.0007297169842511,13,4
2047,v_loss,-0.0821121508480742,0.0167080214717293,-0.1141022247879129,-0.0932332213707439,-0.0825574726947005,-0.0708789244403027,-0.0479209203853239,0.001024849606372,13,4
2048,BIC,80.94319143689691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4
2049,a,1.0323518563195704,0.0425231798419211,0.9512322391315318,1.003303803583715,1.0315794301932304,1.060757361380508,1.1162618988329804,0.000904159336036,80,4
2050,z,0.5588454641789333,0.0232740142791765,0.5131867629574952,0.5428478374807626,0.5593264163270182,0.5747774517837967,0.6030804988588226,0.0005051338635921,80,4
